vol,cid,cite,abbrev,already_resolved,is_self_ref,author_name,work_title,context_before
3,ch007,lib. 4,lib,True,False,Basil of Caesarea,On the Holy Spirit,"was he alone in this interpretation. Didym. lib. 2 de Spiritu Sancto, Athanas. ad Serapion, Basil."
3,ch007,lib. 2 cap. 20,lib,True,False,Socrates Scholasticus,Ecclesiastical History,in like manner entangled with this corruption of the text; as was also Concil. Sardicen. in Socrat.
3,ch007,lib. 3,lib,True,False,Didymus the Blind,,"And because, as we observed before, the word πνεῦμα is variously used, Didymus, de Spiritu Sancto,"
3,ch007,lib. 9,lib,True,False,Plato,,"mind by cruelty, lusts, evil counsels and undertakings.""  So he, as I suppose from Plato de Repub."
3,ch007,lib. 2,lib,True,False,Didymus the Blind,,"haldee here adds קוֹדְשֶׁך, — ""The good Spirit of thy holiness"" or ""Thy holy good Spirit."" Didymus,"
3,ch022,lib. 1,lib,True,False,Augustine of Hippo,,"our wills as that they also act themselves, and that freely. So Austin, cont. Duas Epistol. Pelag."
3,ch023,lib. 4,lib,True,False,,,"ati et elisi a te, Deus meus, ego tamen confitear tibi dedecora mea, in laude tua,</span>"" Confess."
3,ch023,lib. 1,lib,True,False,Augustine of Hippo,,"tin of such irregular actings of nature in its infant state, one is peculiarly remarkable: Confess."
3,ch023,lib. 1,lib,True,False,,,"ae succedentibus majoribus aetatibus transeunt [sicuti ferulis majora supplicia succedunt],</span>"""
3,ch023,lib. 1,lib,True,False,,,"s et parentes amore ludendi, studio spectandi nugatoria [et imitandi ludicra inquietudine?]</span>"""
3,ch023,lib. 1,lib,True,False,,,"t haberem quod darem pueris, ludum suum mihi, quo pariter delectabantur tamen, vendentibus,</span>"""
3,ch023,lib. 2,lib,True,False,,,"is younger days; in the mire whereof he was long detained. To this purpose he discourseth at large,"
3,ch023,lib. 2,lib,True,False,,,orld takes away the shame of it; and love to it makes men greedy in the pursuit of it. See Confess.
3,ch023,lib. 2,lib,True,False,Augustine of Hippo,,"ngs on their hearts and minds, whereof afterward. This is excellently expressed by Austin, Confess."
3,ch023,lib. 1,lib,True,False,,,"m aliquem; qui posses etiam non adparens sensibus nostris, exaudire nos et subvenire nobis,</span>"""
3,ch023,lib. 2,lib,True,False,,,"warnings which he acknowledged that God gave him by the persuasions and exhortations of his mother,"
3,ch023,lib. 4,lib,True,False,,,"ere those which he had in sicknesses of his own, and in the death of his dear friend and companion,"
3,ch023,lib. 5,lib,True,False,,,"in all succeeding ages, by his excellent labors, preserved for the use of the church: see Confess."
3,ch023,lib. 8,lib,True,False,Augustine of Hippo,,"So Austin expresseth his own experience after his great convictions and before his full conversion,"
3,ch023,Lib. 8,lib,True,False,,,"of God. This discourse God was pleased to make use of farther to awake him, and even to amaze him."
3,ch023,Lib. 8,lib,True,False,,,because they see not how nor when they shall be delivered. So was it with the person instanced in.
3,ch023,lib. 8,lib,True,False,,,"et triumphat, et benedicit tibi, qui potens es ultra quam petimus aut intelligimus facere,</span>"""
3,ch023,lib. 8,lib,True,False,,,"mnes rapere intro in cor suum; et rapiebant amando et gaudendo. Hae rapientium manus erant,</span>"""
4,ch008,lib. 2,lib,False,False,,,"ason of their religion, they had the gods always propitious and succourable unto them,"" Antiq. Rom."
4,ch009,lib. 2 cap. 8,lib,True,False,Melchior Cano,Loci Theologici,"redendum, et oculi quidam interai Dei beneficio ad videndum dati,</span>"" saith Canus, Loc. Theol.,"
4,ch009,lib. 1 cap. 7,lib,False,False,,,"lium unusquisque, nisi quod longe infra justam rei explicationem verba subsidunt."" — Calv. Instit.,"
4,ch013,lib. 11 cap. 3,lib,False,False,Augustine of Hippo,,"on.""  The words of Austin, though taken notice of by all, yet may here be again reported. Confess.,"
4,ch013,lib. 3 cap. 2,lib,False,False,,,"hey have examined themselves about it. The words of Baptista Mantuanus are remarkable, De Patient.,"
4,ch013,lib. 8 cap. 1,lib,False,False,,,"ressly maintain both these assertions.  The design of Stapleton, De Principiis Fidei, controver. 4,"
4,ch013,lib. 6 cap. 3,lib,False,False,,,"sunt ut fidem omnino indubitatam reddant, nisi mens divinitus adjuvetur,"" De Grat. et Lib. Arbit.,"
4,ch013,"lib. 2 cap. 8, di",lib,False,False,,,"h as produce an undoubted faith, unless the mind be divinely assisted. Melchior Canns, Lee. Theol.,"
4,ch013,"lib. 1, cap. 7, sect. 5",lib,True,False,John Calvin,Institutes of the Christian Religion,"disp. 7, qu. 1, pune. 4, sect. 2.  Let any man compare these words with those of Calvin, Institut."
4,ch020,lib. 2,lib,False,False,,,"ion to_ be the _illuminating grace_ of the Spirit, and the _Holy One_ to be the _Spirit_ _himself,_"
4,ch032,lib. 24 cap. 30,lib,False,False,Livy (Titus Livius),,"came the phrase of velamenta proeferre, to hold out such covered branches. So Livy, De Bel. Punic.,"
4,ch032,lib. 10 cap. 23,lib,False,False,Constantine I,,"y called those prayers which they made solemnly unto their gods, supplicia and supplications, Liv.,"
4,ch035,lib. 4 chap. 3,lib,False,False,John of Damascus,,"spiritus discat ingemiscere, ut repropitiet sibi Deum.</span>"" To the same purpose speaks Damascen,"
4,ch040,"lib. 9, cap. 10",lib,False,False,,,"One of them, and his expressions in one place, may suffice for an instance, — Plotinus, Ennead. 6,"
4,ch040,Epist. 121,epist,True,False,Augustine of Hippo,Letters,"lang=""la"" xml:lang=""la"">Interdum voce nos ipsos ad devotionem et acrius incitamus,</span>"" August."
4,ch049,Epist. 1,epist,False,False,,,"the Spirit with the Corinthians under the name of the ""God of love and peace,"" 2 Corinthians 13:112"
5,ch004,lib. 6,lib,True,False,,,"is vivens, unde propheta dicit in psalmo, 'Si iniquitates attends Domine, quis sustinebit'</span>"","
5,ch004,lib. 2,lib,True,False,Jerome (Hieronymus),,"when they were convinced of sinful miscarriages in the sight of men; as they are charged by Jerome,"
5,ch004,lib. 2,lib,True,False,Augustine of Hippo,,"ful miscarriages in the sight of men; as they are charged by Jerome, lib. 2 Dialog.; and by Austin,"
5,ch004,Epist. 31,epist,True,False,,,"the philosophers: ""Unum bonum est, quod beatae vitae causa et firmamentum est, sibi fidere"", Senec."
5,ch004,lib. 5 cap. 7,lib,True,False,Robert Bellarmine,On Justification,"simum est fiduciam totam in sola misericordia Dei et benignitate reponere"", Bellar. de Justificat.,"
5,ch004,Orat. 2,orat,True,False,Gregory of Nyssa,,"ry Nyssen speaks to the same purpose: Μεταθεὶς γὰρ πρὸς ἑαυτὸν τὸν τῶν ἡμῶν ἁμαρτιῶν ἀπεργασάμενος,"
5,ch004,Epist. 190,epist,True,False,Bernard of Clairvaux,Letters,"ere must be no spot found in them), but by grace, whereby all sin is blotted out."" So Bernard also,"
